,Server,Command,Workload,Trial,Throughput
0,redis-server-dumb,load,workloada,0,1264.2225031605562
1,redis-server-dumb,run,workloada,0,3076.923076923077
2,redis-server-dumb,load,workloada,1,1165.5011655011656
3,redis-server-dumb,run,workloada,1,2415.458937198068
4,redis-server-dumb,load,workloada,2,1166.8611435239206
5,redis-server-dumb,run,workloada,2,3105.590062111801
6,redis-server-dumb,load,workloada,3,1351.3513513513512
7,redis-server-dumb,run,workloada,3,2557.544757033248
8,redis-server-dumb,load,workloada,4,1142.857142857143
9,redis-server-dumb,run,workloada,4,2717.391304347826
10,redis-server-dumb,load,workloada,5,1135.0737797956867
11,redis-server-dumb,run,workloada,5,2392.3444976076553
12,redis-server-dumb,load,workloada,6,1128.6681715575621
13,redis-server-dumb,run,workloada,6,2666.6666666666665
14,redis-server-dumb,load,workloada,7,1119.8208286674133
15,redis-server-dumb,run,workloada,7,2500.0
16,redis-server-dumb,load,workloada,8,1100.1100110011
17,redis-server-dumb,run,workloada,8,2493.7655860349128
18,redis-server-dumb,load,workloada,9,1432.6647564469913
19,redis-server-dumb,run,workloada,9,2994.011976047904
20,redis-server-dumb,load,workloada,10,1538.4615384615386
21,redis-server-dumb,run,workloada,10,2336.448598130841
22,redis-server-dumb,load,workloada,11,1153.4025374855826
23,redis-server-dumb,run,workloada,11,3278.688524590164
24,redis-server-dumb,load,workloada,12,1146.788990825688
25,redis-server-dumb,run,workloada,12,3194.888178913738
26,redis-server-dumb,load,workloada,13,1223.9902080783354
27,redis-server-dumb,run,workloada,13,2898.550724637681
28,redis-server-dumb,load,workloada,14,1096.4912280701753
29,redis-server-dumb,run,workloada,14,2347.417840375587
30,redis-server-dumb,load,workloada,15,1145.475372279496
31,redis-server-dumb,run,workloada,15,2358.490566037736
32,redis-server-dumb,load,workloada,16,1116.0714285714287
33,redis-server-dumb,run,workloada,16,2557.544757033248
34,redis-server-dumb,load,workloada,17,1137.6564277588168
35,redis-server-dumb,run,workloada,17,2375.296912114014
36,redis-server-dumb,load,workloada,18,1123.5955056179776
37,redis-server-dumb,run,workloada,18,2392.3444976076553
38,redis-server-dumb,load,workloada,19,1103.7527593818984
39,redis-server-dumb,run,workloada,19,2403.846153846154
40,redis-server-dumb,load,workloadb,0,1127.3957158962796
41,redis-server-dumb,run,workloadb,0,1795.3321364452424
42,redis-server-dumb,load,workloadb,1,1119.8208286674133
43,redis-server-dumb,run,workloadb,1,1886.7924528301887
44,redis-server-dumb,load,workloadb,2,1124.859392575928
45,redis-server-dumb,run,workloadb,2,1801.8018018018017
46,redis-server-dumb,load,workloadb,3,1096.4912280701753
47,redis-server-dumb,run,workloadb,3,1984.126984126984
48,redis-server-dumb,load,workloadb,4,1153.4025374855826
49,redis-server-dumb,run,workloadb,4,1788.9087656529516
50,redis-server-dumb,load,workloadb,5,1103.7527593818984
51,redis-server-dumb,run,workloadb,5,2403.846153846154
52,redis-server-dumb,load,workloadb,6,1127.3957158962796
53,redis-server-dumb,run,workloadb,6,1742.1602787456445
54,redis-server-dumb,load,workloadb,7,1108.6474501108648
55,redis-server-dumb,run,workloadb,7,1782.5311942959001
56,redis-server-dumb,load,workloadb,8,1140.2508551881415
57,redis-server-dumb,run,workloadb,8,1838.235294117647
58,redis-server-dumb,load,workloadb,9,1555.2099533437015
59,redis-server-dumb,run,workloadb,9,1724.1379310344828
60,redis-server-dumb,load,workloadb,10,1592.3566878980891
61,redis-server-dumb,run,workloadb,10,1808.3182640144666
62,redis-server-dumb,load,workloadb,11,1597.444089456869
63,redis-server-dumb,run,workloadb,11,2083.3333333333335
64,redis-server-dumb,load,workloadb,12,1196.1722488038276
65,redis-server-dumb,run,workloadb,12,1919.3857965451057
66,redis-server-dumb,load,workloadb,13,1569.8587127158555
67,redis-server-dumb,run,workloadb,13,1821.4936247723133
68,redis-server-dumb,load,workloadb,14,1140.2508551881415
69,redis-server-dumb,run,workloadb,14,1890.359168241966
70,redis-server-dumb,load,workloadb,15,1165.5011655011656
71,redis-server-dumb,run,workloadb,15,1739.1304347826087
72,redis-server-dumb,load,workloadb,16,1079.913606911447
73,redis-server-dumb,run,workloadb,16,1808.3182640144666
74,redis-server-dumb,load,workloadb,17,1119.8208286674133
75,redis-server-dumb,run,workloadb,17,1792.1146953405018
76,redis-server-dumb,load,workloadb,18,1116.0714285714287
77,redis-server-dumb,run,workloadb,18,2100.840336134454
78,redis-server-dumb,load,workloadb,19,1307.18954248366
79,redis-server-dumb,run,workloadb,19,1814.8820326678765
80,redis-server-dumb,load,workloadc,0,1157.4074074074074
81,redis-server-dumb,run,workloadc,0,1712.3287671232877
82,redis-server-dumb,load,workloadc,1,1177.8563015312131
83,redis-server-dumb,run,workloadc,1,2336.448598130841
84,redis-server-dumb,load,workloadc,2,1189.0606420927468
85,redis-server-dumb,run,workloadc,2,2136.7521367521367
86,redis-server-dumb,load,workloadc,3,1144.1647597254005
87,redis-server-dumb,run,workloadc,3,2369.6682464454975
88,redis-server-dumb,load,workloadc,4,1574.8031496062993
89,redis-server-dumb,run,workloadc,4,2114.164904862579
90,redis-server-dumb,load,workloadc,5,1152.073732718894
91,redis-server-dumb,run,workloadc,5,1733.102253032929
92,redis-server-dumb,load,workloadc,6,1127.3957158962796
93,redis-server-dumb,run,workloadc,6,1703.5775127768313
94,redis-server-dumb,load,workloadc,7,1169.5906432748538
95,redis-server-dumb,run,workloadc,7,1879.6992481203008
96,redis-server-dumb,load,workloadc,8,1218.026796589525
97,redis-server-dumb,run,workloadc,8,1683.5016835016836
98,redis-server-dumb,load,workloadc,9,1184.8341232227488
99,redis-server-dumb,run,workloadc,9,2028.3975659229209
100,redis-server-dumb,load,workloadc,10,1303.7809647979138
101,redis-server-dumb,run,workloadc,10,1712.3287671232877
102,redis-server-dumb,load,workloadc,11,1150.7479861910242
103,redis-server-dumb,run,workloadc,11,1782.5311942959001
104,redis-server-dumb,load,workloadc,12,1234.567901234568
105,redis-server-dumb,run,workloadc,12,2392.3444976076553
106,redis-server-dumb,load,workloadc,13,1146.788990825688
107,redis-server-dumb,run,workloadc,13,2036.6598778004072
108,redis-server-dumb,load,workloadc,14,1508.2956259426849
109,redis-server-dumb,run,workloadc,14,2386.634844868735
110,redis-server-dumb,load,workloadc,15,1587.3015873015872
111,redis-server-dumb,run,workloadc,15,1801.8018018018017
112,redis-server-dumb,load,workloadc,16,1567.398119122257
113,redis-server-dumb,run,workloadc,16,1733.102253032929
114,redis-server-dumb,load,workloadc,17,1172.3329425556858
115,redis-server-dumb,run,workloadc,17,1683.5016835016836
116,redis-server-dumb,load,workloadc,18,1102.5358324145534
117,redis-server-dumb,run,workloadc,18,2364.066193853428
118,redis-server-dumb,load,workloadc,19,1273.8853503184714
119,redis-server-dumb,run,workloadc,19,1996.007984031936
120,redis-server-dumb,load,workloadd,0,1131.2217194570135
121,redis-server-dumb,run,workloadd,0,1652.892561983471
122,redis-server-dumb,load,workloadd,1,1117.31843575419
123,redis-server-dumb,run,workloadd,1,1745.2006980802792
124,redis-server-dumb,load,workloadd,2,1109.8779134295228
125,redis-server-dumb,run,workloadd,2,1724.1379310344828
126,redis-server-dumb,load,workloadd,3,1142.857142857143
127,redis-server-dumb,run,workloadd,3,1661.1295681063123
128,redis-server-dumb,load,workloadd,4,1655.6291390728477
129,redis-server-dumb,run,workloadd,4,2207.5055187637968
130,redis-server-dumb,load,workloadd,5,1097.694840834248
131,redis-server-dumb,run,workloadd,5,1658.374792703151
132,redis-server-dumb,load,workloadd,6,1200.4801920768307
133,redis-server-dumb,run,workloadd,6,1669.449081803005
134,redis-server-dumb,load,workloadd,7,1494.7683109118086
135,redis-server-dumb,run,workloadd,7,1706.4846416382252
136,redis-server-dumb,load,workloadd,8,1412.4293785310736
137,redis-server-dumb,run,workloadd,8,1655.6291390728477
138,redis-server-dumb,load,workloadd,9,1142.857142857143
139,redis-server-dumb,run,workloadd,9,1821.4936247723133
140,redis-server-dumb,load,workloadd,10,1122.334455667789
141,redis-server-dumb,run,workloadd,10,1689.1891891891892
