,Server,Command,Workload,Trial,Throughput
0,redis-server-dumb,load,workloada,0,1600.0
1,redis-server-dumb,run,workloada,0,3194.888178913738
2,redis-server-dumb,load,workloada,1,1572.3270440251572
3,redis-server-dumb,run,workloada,1,3067.4846625766872
4,redis-server-dumb,load,workloada,2,1584.7860538827258
5,redis-server-dumb,run,workloada,2,3076.923076923077
6,redis-server-dumb,load,workloada,3,1543.20987654321
7,redis-server-dumb,run,workloada,3,3496.5034965034965
8,redis-server-dumb,load,workloada,4,1584.7860538827258
9,redis-server-dumb,run,workloada,4,3144.6540880503144
10,redis-server-dumb,load,workloada,5,1572.3270440251572
11,redis-server-dumb,run,workloada,5,3039.51367781155
12,redis-server-dumb,load,workloada,6,1533.7423312883436
13,redis-server-dumb,run,workloada,6,3125.0
14,redis-server-dumb,load,workloada,7,1564.9452269170579
15,redis-server-dumb,run,workloada,7,3154.5741324921137
16,redis-server-dumb,load,workloada,8,1587.3015873015872
17,redis-server-dumb,run,workloada,8,3134.796238244514
18,redis-server-dumb,load,workloada,9,1754.3859649122808
19,redis-server-dumb,run,workloada,9,3144.6540880503144
20,redis-server-dumb,load,workloadb,0,1524.3902439024391
21,redis-server-dumb,run,workloadb,0,2386.634844868735
22,redis-server-dumb,load,workloadb,1,1545.595054095827
23,redis-server-dumb,run,workloadb,1,2439.0243902439024
24,redis-server-dumb,load,workloadb,2,1562.5
25,redis-server-dumb,run,workloadb,2,2375.296912114014
26,redis-server-dumb,load,workloadb,3,1589.825119236884
27,redis-server-dumb,run,workloadb,3,2439.0243902439024
28,redis-server-dumb,load,workloadb,4,1736.111111111111
29,redis-server-dumb,run,workloadb,4,2433.0900243309
30,redis-server-dumb,load,workloadb,5,1623.3766233766235
31,redis-server-dumb,run,workloadb,5,2403.846153846154
32,redis-server-dumb,load,workloadb,6,1584.7860538827258
33,redis-server-dumb,run,workloadb,6,2450.9803921568628
34,redis-server-dumb,load,workloadb,7,1562.5
35,redis-server-dumb,run,workloadb,7,2331.002331002331
36,redis-server-dumb,load,workloadb,8,1574.8031496062993
37,redis-server-dumb,run,workloadb,8,2369.6682464454975
38,redis-server-dumb,load,workloadb,9,1582.2784810126582
39,redis-server-dumb,run,workloadb,9,2375.296912114014
40,redis-server-dumb,load,workloadc,0,1642.0361247947455
41,redis-server-dumb,run,workloadc,0,2386.634844868735
42,redis-server-dumb,load,workloadc,1,1550.3875968992247
43,redis-server-dumb,run,workloadc,1,2398.0815347721823
44,redis-server-dumb,load,workloadc,2,1801.8018018018017
45,redis-server-dumb,run,workloadc,2,2309.4688221709007
46,redis-server-dumb,load,workloadc,3,1533.7423312883436
47,redis-server-dumb,run,workloadc,3,2421.3075060532688
48,redis-server-dumb,load,workloadc,4,1569.8587127158555
49,redis-server-dumb,run,workloadc,4,2347.417840375587
50,redis-server-dumb,load,workloadc,5,1582.2784810126582
51,redis-server-dumb,run,workloadc,5,2364.066193853428
52,redis-server-dumb,load,workloadc,6,1557.632398753894
53,redis-server-dumb,run,workloadc,6,2358.490566037736
54,redis-server-dumb,load,workloadc,7,1562.5
55,redis-server-dumb,run,workloadc,7,2352.9411764705883
56,redis-server-dumb,load,workloadc,8,1550.3875968992247
57,redis-server-dumb,run,workloadc,8,2398.0815347721823
58,redis-server-dumb,load,workloadc,9,1531.3935681470139
59,redis-server-dumb,run,workloadc,9,2380.9523809523807
60,redis-server-dumb,load,workloadd,0,1589.825119236884
61,redis-server-dumb,run,workloadd,0,2257.3363431151242
62,redis-server-dumb,load,workloadd,1,1600.0
63,redis-server-dumb,run,workloadd,1,2242.152466367713
64,redis-server-dumb,load,workloadd,2,1594.896331738437
65,redis-server-dumb,run,workloadd,2,2252.252252252252
66,redis-server-dumb,load,workloadd,3,1562.5
67,redis-server-dumb,run,workloadd,3,2237.136465324385
68,redis-server-dumb,load,workloadd,4,1572.3270440251572
69,redis-server-dumb,run,workloadd,4,2242.152466367713
70,redis-server-dumb,load,workloadd,5,1555.2099533437015
71,redis-server-dumb,run,workloadd,5,2252.252252252252
72,redis-server-dumb,load,workloadd,6,1597.444089456869
73,redis-server-dumb,run,workloadd,6,2242.152466367713
74,redis-server-dumb,load,workloadd,7,1555.2099533437015
75,redis-server-dumb,run,workloadd,7,2242.152466367713
76,redis-server-dumb,load,workloadd,8,1562.5
77,redis-server-dumb,run,workloadd,8,2207.5055187637968
78,redis-server-dumb,load,workloadd,9,1579.778830963665
79,redis-server-dumb,run,workloadd,9,2247.191011235955
80,redis-server-dumb,load,workloade,0,1636.6612111292961
81,redis-server-dumb,run,workloade,0,64.8760866744518
82,redis-server-dumb,load,workloade,1,1560.0624024960998
83,redis-server-dumb,run,workloade,1,57.378930456736285
84,redis-server-dumb,load,workloade,2,1121.0762331838564
85,redis-server-dumb,run,workloade,2,43.200276481769485
86,redis-server-dumb,load,workloade,3,1639.344262295082
87,redis-server-dumb,run,workloade,3,44.224305678400846
88,redis-server-dumb,load,workloade,4,1438.8489208633093
89,redis-server-dumb,run,workloade,4,43.265694630727296
90,redis-server-dumb,load,workloade,5,1173.7089201877934
91,redis-server-dumb,run,workloade,5,44.86316733961418
92,redis-server-dumb,load,workloade,6,1182.033096926714
93,redis-server-dumb,run,workloade,6,48.95002202750991
94,redis-server-dumb,load,workloade,7,1639.344262295082
95,redis-server-dumb,run,workloade,7,46.91972035846666
96,redis-server-dumb,load,workloade,8,1422.475106685633
97,redis-server-dumb,run,workloade,8,45.20591293341169
98,redis-server-dumb,load,workloade,9,1567.398119122257
99,redis-server-dumb,run,workloade,9,47.18984474541079
100,redis-server-dumb,load,workloadf,0,1144.1647597254005
101,redis-server-dumb,run,workloadf,0,2105.2631578947367
102,redis-server-dumb,load,workloadf,1,1145.475372279496
103,redis-server-dumb,run,workloadf,1,1555.2099533437015
104,redis-server-dumb,load,workloadf,2,1242.2360248447205
105,redis-server-dumb,run,workloadf,2,1547.9876160990711
106,redis-server-dumb,load,workloadf,3,1555.2099533437015
107,redis-server-dumb,run,workloadf,3,1647.4464579901153
108,redis-server-dumb,load,workloadf,4,1141.552511415525
109,redis-server-dumb,run,workloadf,4,2096.4360587002097
110,redis-server-dumb,load,workloadf,5,1107.4197120708748
111,redis-server-dumb,run,workloadf,5,1531.3935681470139
112,redis-server-dumb,load,workloadf,6,1597.444089456869
113,redis-server-dumb,run,workloadf,6,2083.3333333333335
114,redis-server-dumb,load,workloadf,7,1166.8611435239206
115,redis-server-dumb,run,workloadf,7,1582.2784810126582
116,redis-server-dumb,load,workloadf,8,1562.5
117,redis-server-dumb,run,workloadf,8,2079.002079002079
118,redis-server-dumb,load,workloadf,9,1129.9435028248588
119,redis-server-dumb,run,workloadf,9,1655.6291390728477
120,redis-server-repair,load,workloada,0,4464.285714285715
