,Server,Command,Workload,Trial,Throughput
0,redis-server,load,workloada,0,6765.899864682003
1,redis-server,run,workloada,0,1098.901098901099
2,redis-server,load,workloada,1,6553.07994757536
3,redis-server,run,workloada,1,1136.3636363636363
4,redis-server,load,workloada,2,6644.518272425249
5,redis-server,run,workloada,2,1204.8192771084337
6,redis-server,load,workloada,3,6195.786864931846
7,redis-server,run,workloada,3,1298.7012987012988
8,redis-server,load,workloada,4,6849.315068493151
9,redis-server,run,workloada,4,1176.4705882352941
10,redis-server,load,workloada,5,6468.30530401035
11,redis-server,run,workloada,5,1219.5121951219512
12,redis-server,load,workloada,6,6447.453255963895
13,redis-server,run,workloada,6,1123.5955056179776
14,redis-server,load,workloada,7,6222.7753578095835
15,redis-server,run,workloada,7,1098.901098901099
16,redis-server,load,workloada,8,7127.583749109052
17,redis-server,run,workloada,8,1176.4705882352941
18,redis-server,load,workloada,9,6618.1336863004635
19,redis-server,run,workloada,9,1315.7894736842106
20,redis-server,load,workloadb,0,7204.610951008645
21,redis-server,run,workloadb,0,1190.4761904761904
22,redis-server,load,workloadb,1,6761.325219743069
23,redis-server,run,workloadb,1,1136.3636363636363
24,redis-server,load,workloadb,2,7022.471910112359
25,redis-server,run,workloadb,2,1162.7906976744187
26,redis-server,load,workloadb,3,6195.786864931846
27,redis-server,run,workloadb,3,1123.5955056179776
28,redis-server,load,workloadb,4,6600.660066006601
29,redis-server,run,workloadb,4,1136.3636363636363
30,redis-server,load,workloadb,5,6349.206349206349
31,redis-server,run,workloadb,5,1234.567901234568
32,redis-server,load,workloadb,6,6485.08430609598
33,redis-server,run,workloadb,6,1190.4761904761904
34,redis-server,load,workloadb,7,7052.186177715092
35,redis-server,run,workloadb,7,1162.7906976744187
36,redis-server,load,workloadb,8,6662.225183211192
37,redis-server,run,workloadb,8,1149.4252873563219
38,redis-server,load,workloadb,9,6459.948320413437
39,redis-server,run,workloadb,9,1136.3636363636363
40,redis-server,load,workloadc,0,6397.952655150352
41,redis-server,run,workloadc,0,1204.8192771084337
42,redis-server,load,workloadc,1,6406.149903907752
43,redis-server,run,workloadc,1,1204.8192771084337
44,redis-server,load,workloadc,2,6609.385327164574
45,redis-server,run,workloadc,2,1250.0
46,redis-server,load,workloadc,3,6734.006734006734
47,redis-server,run,workloadc,3,1204.8192771084337
48,redis-server,load,workloadc,4,6188.118811881188
49,redis-server,run,workloadc,4,1282.051282051282
50,redis-server,load,workloadc,5,6410.25641025641
51,redis-server,run,workloadc,5,1204.8192771084337
52,redis-server,load,workloadc,6,6734.006734006734
53,redis-server,run,workloadc,6,1075.268817204301
54,redis-server,load,workloadc,7,6653.35994677312
55,redis-server,run,workloadc,7,1219.5121951219512
56,redis-server,load,workloadc,8,6410.25641025641
57,redis-server,run,workloadc,8,1136.3636363636363
58,redis-server,load,workloadc,9,6451.612903225807
59,redis-server,run,workloadc,9,1265.8227848101267
60,redis-server,load,workloadd,0,6816.632583503749
61,redis-server,run,workloadd,0,1136.3636363636363
62,redis-server,load,workloadd,1,6269.592476489028
63,redis-server,run,workloadd,1,1176.4705882352941
64,redis-server,load,workloadd,2,6988.120195667366
65,redis-server,run,workloadd,2,1098.901098901099
66,redis-server,load,workloadd,3,7042.2535211267605
67,redis-server,run,workloadd,3,1204.8192771084337
68,redis-server,load,workloadd,4,7267.441860465116
69,redis-server,run,workloadd,4,1176.4705882352941
70,redis-server,load,workloadd,5,6958.942240779402
71,redis-server,run,workloadd,5,1190.4761904761904
72,redis-server,load,workloadd,6,6648.936170212766
73,redis-server,run,workloadd,6,1149.4252873563219
